6,7,6,270,
gal:stone,gal:stone_brick,gal:stone_block,gal:stone_cobble,gal:stone_cobble_small,gal:stone_rockwall,gal:stone_gravel,gal:glass,gal:tree_default_trunk,gal:tree_default_wood,
##
sssss,sssss,S2m00,S2m00,sssss,sssss,
_____,Ld0E0,S2m00,S2m00,Ld0E0,_____,
_____,Ld0E0,S2m00,S2m00,Ld0E0,_____,
_____,Ld0E0,S2m00,S2m00,Ld0E0,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
sssss,S2m00,S2m00,S2m00,S2m00,sssss,
_____,S2m00,_____,_____,S2m00,_____,
_____,S2m00,_____,_____,S2m00,_____,
_____,S2m00,S2L00,S2L00,S2m00,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,
S2m00,_____,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,
S2m00,_____,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
sssss,S2m00,S2m00,S2m00,S2m00,sssss,
Ld0W0,K2m00,_____,_____,K2m00,Ld0W0,
Ld0W0,K2m00,_____,_____,K2m00,Ld0W0,
Ld0W0,K2m00,S2L00,S2L00,K2m00,Ld0W0,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
sssss,S2m00,S2m00,S2m00,S2m00,sssss,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,S2L00,S2L00,S2L00,S2L00,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
